# Final spectrum
# radius density
3009180844716055.500000 0.012500
6138479868822940.000000 0.012500
9267778892929826.000000 0.087500
12397077917036710.000000 0.150000
15526376941143594.000000 0.112500
18655675965250480.000000 0.225000
21784974989357368.000000 0.262500
24914274013464248.000000 0.087500
28043573037571136.000000 0.000000
31172872061678020.000000 0.050000
