# Final spectrum
# radius density
2279742638579505.500000 0.025000
4887909582921777.000000 0.000000
7496076527264048.000000 0.075000
10104243471606320.000000 0.062500
12712410415948592.000000 0.062500
15320577360290864.000000 0.087500
17928744304633132.000000 0.125000
20536911248975404.000000 0.137500
23145078193317676.000000 0.250000
25753245137659948.000000 0.175000
