# Final spectrum
# radius density
7136923439385419.000000 0.100000
9064326171906342.000000 0.037500
10991728904427264.000000 0.037500
12919131636948188.000000 0.062500
14846534369469108.000000 0.050000
16773937101990032.000000 0.112500
18701339834510956.000000 0.050000
20628742567031876.000000 0.137500
22556145299552800.000000 0.162500
24483548032073720.000000 0.250000
