# Final spectrum
# radius density
5236602104271947.000000 0.012500
7203861698005524.000000 0.087500
9171121291739100.000000 0.062500
11138380885472676.000000 0.050000
13105640479206252.000000 0.050000
15072900072939828.000000 0.100000
17040159666673408.000000 0.062500
19007419260406984.000000 0.187500
20974678854140560.000000 0.187500
22941938447874136.000000 0.200000
