# Final spectrum
# radius density
4151010236918000.500000 0.025000
6479967986875294.000000 0.062500
8808925736832586.000000 0.050000
11137883486789880.000000 0.037500
13466841236747172.000000 0.062500
15795798986704464.000000 0.112500
18124756736661760.000000 0.062500
20453714486619052.000000 0.150000
22782672236576344.000000 0.137500
25111629986533640.000000 0.300000
